,acc,loss
0,0.4868421036946146,0.8006771081372311
1,0.5789473715581392,0.7947782842736495
2,0.4999999984314567,0.7906179239875392
3,0.6052631610318234,0.7835747191780492
4,0.6052631610318234,0.776747349061464
5,0.7368421052631579,0.767163568421414
6,0.6447368452423498,0.7537921071052551
7,0.6447368421052632,0.7280115704787405
8,0.7500000031370866,0.6447229416746842
9,0.8157894736842105,0.4835354230905834
10,0.8421052662949813,0.4872833035494152
11,0.7763157894736842,0.5908685671655756
12,0.7105263157894737,0.9873061682048597
13,0.8815789442313345,0.4034325715742613
14,0.9078947337050187,0.3889996785866587
15,0.8026315789473685,0.46771900904806035
16,0.8947368389681766,0.39457905292510986
17,0.868421052631579,0.4061360233708432
18,0.8684210494944924,0.43256405466481257
19,0.8947368421052632,0.35152468555851984
20,0.7763157863365976,0.6647445120309529
21,0.7105263189265603,0.9991700053215027
22,0.881578947368421,0.4082601415483575
23,0.8815789442313345,0.506564874398081
24,0.9210526284418608,0.3328090059129815
25,0.8947368421052632,0.3908988833427429
26,0.8947368421052632,0.3589619617713125
27,0.8947368421052632,0.35792722513801173
28,0.8947368421052632,0.3609218785637303
29,0.8947368389681766,0.3854016285193594
